transaction_id,date,amount,merchant_raw,description,category_hint,merchant_clean,merchant_extracted,merchant_normalized,normalized_id,merchant_canonical,canonical_id,category,category_confidence,confidence_level,status,method,evidence,fingerprint,transaction_type
txn_001,2025-11-17,-15.480500215104454,PAYPAL *NETFLIX NETFLIX.COM,Recurring Payment,entertainment,Netflix Netflix.Com,Netflix Netflix,Netflix Netflix,netflixnetflix,Netflix,netflix,subscriptions,0.4674,low,suggested,zero-shot-weak,"{'input_text': 'Netflix. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.4674, 'entertainment': 0.4314, 'transfer': 0.023, 'income': 0.0167, 'fees': 0.0166, 'food and dining': 0.0104, 'shopping': 0.0077, 'travel': 0.0067, 'utilities': 0.0064, 'transportation': 0.005, 'healthcare': 0.0047, 'groceries': 0.004}, 'top_3': [{'category': 'subscriptions', 'score': 0.4674}, {'category': 'entertainment', 'score': 0.4314}, {'category': 'transfer', 'score': 0.023}], 'margin_to_second': 0.036}",15.48_20251117_netflix,recurring
txn_004,2025-11-19,-3.997105414004551,GITHUB.COM *PRO PLAN,Recurring Payment,subscriptions,Github.Com *Pro Plan,Github,Github,github,Github,github,subscriptions,0.2034,low,uncategorized,zero-shot-failed,"{'input_text': 'Github. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.2034, 'fees': 0.1738, 'transfer': 0.1722, 'income': 0.1466, 'healthcare': 0.0567, 'shopping': 0.0527, 'utilities': 0.0416, 'travel': 0.04, 'entertainment': 0.0345, 'transportation': 0.0331, 'food and dining': 0.0246, 'groceries': 0.0209}, 'top_3': [{'category': 'subscriptions', 'score': 0.2034}, {'category': 'fees', 'score': 0.1738}, {'category': 'transfer', 'score': 0.1722}], 'margin_to_second': 0.0296}",4.00_20251119_github,one-time
txn_010,2025-12-04,-337.78,HILTON HOTELS #8787 DANIELCHESTER,Purchase,travel,Hilton Hotels Danielchester,Hilton Hotels Danielchester,Hilton Hotels Danielchester,hiltonhotelsdanielchester,Hilton Hotels Danielchester,hiltonhotelsdanielchester,travel,0.3411,low,suggested,zero-shot-weak,"{'input_text': 'Hilton Hotels Danielchester. Purchase. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'travel': 0.3411, 'shopping': 0.1064, 'food and dining': 0.1045, 'entertainment': 0.0991, 'subscriptions': 0.0624, 'income': 0.0624, 'transfer': 0.0576, 'fees': 0.0469, 'transportation': 0.039, 'utilities': 0.0326, 'healthcare': 0.031, 'groceries': 0.017}, 'top_3': [{'category': 'travel', 'score': 0.3411}, {'category': 'shopping', 'score': 0.1064}, {'category': 'food and dining', 'score': 0.1045}], 'margin_to_second': 0.2346}",337.78_20251204_hiltonhotelsdanielchester,one-time
txn_017,2025-12-18,-15.482790758570504,NETFLIX.COM 9935 CA,Recurring Payment,entertainment,Netflix.Com 9935,Netflix,Netflix,netflix,Netflix,netflix,subscriptions,0.4674,low,suggested,zero-shot-weak,"{'input_text': 'Netflix. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.4674, 'entertainment': 0.4314, 'transfer': 0.023, 'income': 0.0167, 'fees': 0.0166, 'food and dining': 0.0104, 'shopping': 0.0077, 'travel': 0.0067, 'utilities': 0.0064, 'transportation': 0.005, 'healthcare': 0.0047, 'groceries': 0.004}, 'top_3': [{'category': 'subscriptions', 'score': 0.4674}, {'category': 'entertainment', 'score': 0.4314}, {'category': 'transfer', 'score': 0.023}], 'margin_to_second': 0.036}",15.48_20251218_netflix,repeat
txn_019,2025-12-21,-4.002699565763941,GITHUB.COM *PRO PLAN,Recurring Payment,subscriptions,Github.Com *Pro Plan,Github,Github,github,Github,github,subscriptions,0.2034,low,uncategorized,zero-shot-failed,"{'input_text': 'Github. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.2034, 'fees': 0.1738, 'transfer': 0.1722, 'income': 0.1466, 'healthcare': 0.0567, 'shopping': 0.0527, 'utilities': 0.0416, 'travel': 0.04, 'entertainment': 0.0345, 'transportation': 0.0331, 'food and dining': 0.0246, 'groceries': 0.0209}, 'top_3': [{'category': 'subscriptions', 'score': 0.2034}, {'category': 'fees', 'score': 0.1738}, {'category': 'transfer', 'score': 0.1722}], 'margin_to_second': 0.0296}",4.00_20251221_github,repeat
txn_022,2026-01-01,-19.37,UBER EATS HELP.UBER.COM,Debit Card,food and dining,Uber Eats Help.Uber.Com,Uber Eats Help,Uber Eats Help,ubereatshelp,Uber Eats Help,ubereatshelp,transportation,0.3695,low,suggested,zero-shot-weak,"{'input_text': 'Uber Eats Help. Debit Card. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'transportation': 0.3695, 'food and dining': 0.2831, 'fees': 0.0858, 'transfer': 0.077, 'subscriptions': 0.0549, 'entertainment': 0.0411, 'income': 0.0315, 'shopping': 0.0259, 'travel': 0.017, 'utilities': 0.0078, 'groceries': 0.0038, 'healthcare': 0.0025}, 'top_3': [{'category': 'transportation', 'score': 0.3695}, {'category': 'food and dining', 'score': 0.2831}, {'category': 'fees', 'score': 0.0858}], 'margin_to_second': 0.0864}",19.37_20260101_ubereatshelp,recurring
txn_023,2026-01-06,-757.35,UNITED AIRLINES 4470,Debit Card,travel,United Airlines 4470,United Airlines 4470,United Airlines 4470,unitedairlines4470,United Airlines 4470,unitedairlines4470,travel,0.4849,low,suggested,zero-shot-weak,"{'input_text': 'United Airlines 4470. Debit Card. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'travel': 0.4849, 'transportation': 0.1739, 'fees': 0.1381, 'transfer': 0.09, 'income': 0.0536, 'subscriptions': 0.017, 'shopping': 0.0134, 'food and dining': 0.0086, 'entertainment': 0.0079, 'utilities': 0.0064, 'healthcare': 0.0038, 'groceries': 0.0024}, 'top_3': [{'category': 'travel', 'score': 0.4849}, {'category': 'transportation', 'score': 0.1739}, {'category': 'fees', 'score': 0.1381}], 'margin_to_second': 0.311}",757.35_20260106_unitedairlines4470,one-time
txn_024,2026-01-07,-57.86,SHELL OIL 920157420389,Debit Card,transportation,Shell Oil,Shell Oil,Shell Oil,shelloil,Shell Oil,shelloil,fees,0.4163,low,suggested,zero-shot-weak,"{'input_text': 'Shell Oil. Debit Card. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'fees': 0.4163, 'transfer': 0.2415, 'income': 0.1476, 'shopping': 0.0461, 'subscriptions': 0.0406, 'utilities': 0.0356, 'transportation': 0.0231, 'travel': 0.0174, 'entertainment': 0.0096, 'healthcare': 0.0089, 'groceries': 0.0067, 'food and dining': 0.0065}, 'top_3': [{'category': 'fees', 'score': 0.4163}, {'category': 'transfer', 'score': 0.2415}, {'category': 'income', 'score': 0.1476}], 'margin_to_second': 0.1748}",57.86_20260107_shelloil,repeat
txn_026,2026-01-11,-107.37,TARGET 2588 MINNEAPOLIS,Bill Payment,shopping,Target 2588 Minneapolis,Target 2588,Target 2588,target2588,Target 2588,target2588,fees,0.384,low,suggested,zero-shot-weak,"{'input_text': 'Target 2588. Bill Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'fees': 0.384, 'transfer': 0.1484, 'income': 0.1429, 'subscriptions': 0.0844, 'healthcare': 0.0562, 'shopping': 0.0423, 'utilities': 0.0416, 'transportation': 0.0276, 'travel': 0.022, 'entertainment': 0.0188, 'food and dining': 0.0175, 'groceries': 0.0145}, 'top_3': [{'category': 'fees', 'score': 0.384}, {'category': 'transfer', 'score': 0.1484}, {'category': 'income', 'score': 0.1429}], 'margin_to_second': 0.2356}",107.37_20260111_target2588,recurring
txn_030,2026-01-16,-15.49180985024898,NETFLIX.COM 1488 CA,Recurring Payment,entertainment,Netflix.Com 1488,Netflix,Netflix,netflix,Netflix,netflix,subscriptions,0.4674,low,suggested,zero-shot-weak,"{'input_text': 'Netflix. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.4674, 'entertainment': 0.4314, 'transfer': 0.023, 'income': 0.0167, 'fees': 0.0166, 'food and dining': 0.0104, 'shopping': 0.0077, 'travel': 0.0067, 'utilities': 0.0064, 'transportation': 0.005, 'healthcare': 0.0047, 'groceries': 0.004}, 'top_3': [{'category': 'subscriptions', 'score': 0.4674}, {'category': 'entertainment', 'score': 0.4314}, {'category': 'transfer', 'score': 0.023}], 'margin_to_second': 0.036}",15.49_20260116_netflix,repeat
