transaction_id,date,amount,merchant_raw,merchant_key,category,is_recurring,is_anomaly,pattern_tag
txn_0001,2026-01-01,-7.47,SQ * STARBUCKS #5012 CHICAGO,starbucks,dining,False,False,baseline
txn_0002,2026-01-01,3200.0,DIRECT DEPOSIT PAYROLL 9856,payroll,income,True,False,baseline
txn_0003,2026-01-01,-75.0,ATT MOBILE PAYMENT 4116,att,utilities,True,False,baseline
txn_0004,2026-01-02,3200.0,DIRECT DEPOSIT PAYROLL 8956,payroll,income,True,False,baseline
txn_0005,2026-01-02,-39.82,SHELL OIL 229057420389,shell_gas,transportation,False,False,baseline
txn_0006,2026-01-04,-4.87,STARBUCKS COFFEE #2584,starbucks,dining,False,False,baseline
txn_0007,2026-01-04,-34.87,AMAZON.COM*2049 SAN FRANCISCO,amazon,shopping,False,False,baseline
txn_0008,2026-01-05,-29.93,UBER EATS HELP.UBER.COM,uber_eats,dining,False,False,baseline
txn_0009,2026-01-06,-11.24,MCDONALD'S #5422 AUSTIN,mcdonalds,dining,False,False,baseline
txn_0010,2026-01-06,-35.9,AMAZON.COM*7932 CHICAGO,amazon,shopping,False,False,baseline
txn_0011,2026-01-08,-67.08,AMAZON.COM*7669 CHICAGO,amazon,shopping,False,False,baseline
txn_0012,2026-01-09,-7.74,SQ *SQ *STARBUCKS 1106,starbucks,dining,False,False,baseline
txn_0013,2026-01-09,-13.65,MCDONALD'S #8527 SEATTLE,mcdonalds,dining,False,False,baseline
txn_0014,2026-01-10,-74.78,WALMART.COM - 8433 AR,walmart,groceries,False,False,baseline
txn_0015,2026-01-12,-9.47,MCDONALD'S #5374 AUSTIN,mcdonalds,dining,False,False,baseline
txn_0016,2026-01-13,-90.53,TST* WHOLE FOODS MKT #8668 SEATTLE,whole_foods,groceries,False,False,baseline
txn_0017,2026-01-13,-9.95,MCDONALD'S #6977 CHICAGO,mcdonalds,dining,False,False,baseline
txn_0018,2026-01-13,-42.69,UBER EATS HELP.UBER.COM,uber_eats,dining,False,False,baseline
txn_0019,2026-01-14,-5.86,STARBUCKS COFFEE #3547,starbucks,dining,False,False,baseline
txn_0020,2026-01-14,-4.63,SQ * STARBUCKS #2535 CHICAGO,starbucks,dining,False,False,baseline
txn_0021,2026-01-16,-35.39,SHELL OIL 694757420389,shell_gas,transportation,False,False,baseline
txn_0022,2026-01-16,-67.27,TST* WHOLE FOODS MKT #1771 NEW YORK,whole_foods,groceries,False,False,baseline
txn_0023,2026-01-17,-6.91,SQ *SQ *STARBUCKS 4257,starbucks,dining,False,False,baseline
txn_0024,2026-01-17,-100.96,WALMART.COM - 9317 AR,walmart,groceries,False,False,baseline
txn_0025,2026-01-18,-128.86,TST* WHOLE FOODS MKT #1188 AUSTIN,whole_foods,groceries,False,False,baseline
txn_0026,2026-01-18,-54.07,SHELL OIL 968957420389,shell_gas,transportation,False,False,baseline
txn_0027,2026-01-19,-9.35,MCDONALD'S #2139 NEW YORK,mcdonalds,dining,False,False,baseline
txn_0028,2026-01-19,-53.24,AMAZON.COM*4608 NEW YORK,amazon,shopping,False,False,baseline
txn_0029,2026-01-20,-12.44,MCDONALD'S #9751 AUSTIN,mcdonalds,dining,False,False,baseline
txn_0030,2026-01-21,-72.8,TST* WHOLE FOODS MKT #7916 SEATTLE,whole_foods,groceries,False,False,baseline
txn_0031,2026-01-22,-49.12,AMAZON MARKETPLACE 9834,amazon,shopping,False,False,baseline
txn_0032,2026-01-22,-130.78,TST* WHOLE FOODS MKT #5371 AUSTIN,whole_foods,groceries,False,False,baseline
txn_0033,2026-01-23,-38.7,AMAZON MARKETPLACE 7118,amazon,shopping,False,False,baseline
txn_0034,2026-01-23,-6.68,SQ *SQ *STARBUCKS 4611,starbucks,dining,False,False,baseline
txn_0035,2026-01-23,-57.87,AMAZON.COM*4750 NEW YORK,amazon,shopping,False,False,baseline
txn_0036,2026-01-24,-4.91,SQ *SQ *STARBUCKS 9935,starbucks,dining,False,False,baseline
txn_0037,2026-01-25,-28.32,CVS PHARMACY #3060 CHICAGO,cvs,healthcare,False,False,baseline
txn_0038,2026-01-25,-10.03,MCDONALD'S #2307 CHICAGO,mcdonalds,dining,False,False,baseline
txn_0039,2026-01-26,-31.31,UBER EATS HELP.UBER.COM,uber_eats,dining,False,False,baseline
txn_0040,2026-01-27,-91.12,WALMART.COM - 4258 AR,walmart,groceries,False,False,baseline
txn_0041,2026-01-27,-40.37,UBER EATS HELP.UBER.COM,uber_eats,dining,False,False,baseline
txn_0042,2026-01-28,-39.83,AMAZON MARKETPLACE 9423,amazon,shopping,False,False,baseline
txn_0043,2026-01-29,-91.42,ELECTRIC COMPANY BILL 8579,electric,utilities,True,False,baseline
txn_0044,2026-01-29,-36.67,UBER EATS HELP.UBER.COM,uber_eats,dining,False,False,baseline
txn_0045,2026-01-30,-10.65,MCDONALD'S #5803 AUSTIN,mcdonalds,dining,False,False,baseline
txn_0046,2026-01-30,-43.86,UBER EATS HELP.UBER.COM,uber_eats,dining,False,False,baseline
txn_0047,2026-01-31,-9.99,SPOTIFY USA,spotify,entertainment,True,False,baseline
txn_0048,2026-01-31,-15.49,NETFLIX.COM 7939 CA,netflix,entertainment,True,False,baseline
txn_0049,2026-02-01,-51.2,AMAZON.COM*9821 AUSTIN,amazon,shopping,False,False,baseline
txn_0050,2026-02-01,3200.0,DIRECT DEPOSIT PAYROLL 4443,payroll,income,True,False,baseline
txn_0051,2026-02-02,-5.16,STARBUCKS COFFEE #1035,starbucks,dining,False,False,baseline
txn_0052,2026-02-03,-7.2,SQ * STARBUCKS #4853 MIAMI,starbucks,dining,False,False,baseline
txn_0053,2026-02-03,-11.76,MCDONALD'S #9288 SAN FRANCISCO,mcdonalds,dining,False,False,baseline
txn_0054,2026-02-04,-55.79,AMAZON MARKETPLACE 6663,amazon,shopping,False,False,baseline
txn_0055,2026-02-04,-36.93,CVS PHARMACY #5279 CHICAGO,cvs,healthcare,False,False,baseline
txn_0056,2026-02-05,-12.7,MCDONALD'S #5915 MIAMI,mcdonalds,dining,False,False,baseline
